block|0,0;1,0;0,1;1,1
beehive|0,0;1,0;-1,1;2,1;0,2;1,2
loaf|0,0;1,0;-1,1;2,1;0,2;2,2;1,3
boat|0,0;1,0;0,1;2,1;1,2
tub|0,0;-1,1;1,1;0,2
blinker|0,0;-1,0;1,0
toad|0,0;1,0;2,0;-1,1;0,1;1,1
beacon|-1,-1;0,-1;-1,0;0,0;1,1;2,1;1,2;2,2
pulsar|-4,-6;-3,-6;-2,-6;2,-6;3,-6;4,-6;-6,-4;-1,-4;1,-4;6,-4;-6,-3;-1,-3;1,-3;6,-3;-6,-2;-1,-2;1,-2;6,-2;-4,-1;-3,-1;-2,-1;2,-1;3,-1;4,-1;-4,1;-3,1;-2,1;2,1;3,1;4,1;-6,2;-1,2;1,2;6,2;-6,3;-1,3;1,3;6,3;-6,4;-1,4;1,4;6,4;-4,6;-3,6;-2,6;2,6;3,6;4,6
pentadecathlon|0,-4;0,-3;-1,-2;1,-2;0,-1;0,0;0,1;0,2;-1,3;1,3;0,4;0,5
glider|1,0;2,1;0,2;1,2;2,2
lightweight_spaceship|1,0;4,0;0,1;0,2;4,2;0,3;1,3;2,3;3,3
middleweight_spaceship|2,0;3,0;4,0;5,0;1,1;5,1;5,2;1,3;4,3;0,4;2,4
heavyweight_spaceship|2,0;3,0;4,0;5,0;6,0;1,1;6,1;6,2;1,3;5,3;0,4;2,4;3,4
r_pentomino|1,0;2,0;0,1;1,1;1,2
diehard|6,0;0,1;1,1;1,2;5,2;6,2;7,2
acorn|1,0;3,1;0,2;1,2;4,2;5,2;6,2
gosper_glider_gun|0,4;0,5;1,4;1,5;10,4;10,5;10,6;11,3;11,7;12,2;12,8;13,2;13,8;14,5;15,3;15,7;16,4;16,5;16,6;17,5;20,2;20,3;20,4;21,2;21,3;21,4;22,1;22,5;24,0;24,1;24,5;24,6;34,2;34,3;35,2;35,3
queen_bee_shuttle|0,0;1,0;2,1;1,2;0,2;-1,1;-10,0;-10,1;-11,0;-11,1;10,0;10,1;11,0;11,1
small_exploder|0,-1;-1,0;0,0;1,0;-1,1;1,1;0,2
